Pathogen_ID,pathogen,Disease_ID,disease,Phenotype_ID,phenotype,NCIT
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0009228,canalis cervicis uteri inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0011763,urethra inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0003249,Genital ulcers,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0004434,C8 deficiency,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0012387,Bronchitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0012388,Acute bronchitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/MP_0003865,lymph node inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0000388,Middle ear infection,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0030812,Enlarged tonsils,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0031458,Adenoiditis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0040261,Adenoid hypertrophy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0100776,Pharyngitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0100847,Palmoplantar pustules,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0000371,Acute middle ear infection,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0002840,Inflammation of the lymph nodes,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0004821,Hypermature neutrophils,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0002088,Abnormal lung morphology,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/MP_0001861,lung inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0006527,Lymphoid interstitial pneumonia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0011946,Bronchiolitis obliterans,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0006530,Interstitial lung disease,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/MP_0002405,respiratory system inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0002090,Pneumonia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0002206,Pulmonary fibrosis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/MP_0001862,interstitial pneumonia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/MP_0002133,abnormal respiratory system physiology,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0011947,Respiratory infection,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0002086,Abnormality of the respiratory system,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76384
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0031485,Periosteal reaction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0025131,Finger swelling,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0005731,Cortical irregularity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0003026,Long bone shortening,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0003179,Protrusio acetabulae,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0030651,Multifocal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0002754,Bone infection,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0001248,Short tubular bones of the hand,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0030166,Night sweats,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0003275,Narrow pelvis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/MP_0005190,osteomyelitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_1639,skeletal tuberculosis,http://purl.obolibrary.org/obo/HP_0030831,Rhonchi,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/HP_0012085,High urine neutrophil count,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/MP_0011418,leucocyturia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/HP_0005580,Duplication of renal pelvis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/HP_0012581,Simple kidney cyst,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/HP_0100581,Caliceal dilatation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/HP_0010944,Abnormality of the renal pelvis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/HP_0030424,Epididymal cyst,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/MP_0011764,ureter inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/HP_0100586,Aseptic leukocyturia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/MP_0011420,pyuria,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis,http://purl.obolibrary.org/obo/HP_0009714,Abnormality of the epididymis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0002202,Pleural effusion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0008732,Renal hypophosphatemia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0011919,Pleural empyema,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0012602,Renal chloride wasting,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0001945,Fever,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0002098,Breathing difficulties,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0002206,Pulmonary fibrosis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0012735,Cough,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0030166,Night sweats,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0030803,Platonychia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0031245,Productive cough,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0100618,Leydig cell neoplasia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0100721,Mediastinal lymphadenopathy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0002102,Pleurisy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0002105,Coughing up blood,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0002113,Lung infiltrates,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/HP_0006522,Repeated pneumothoraces,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_2957,pulmonary tuberculosis,http://purl.obolibrary.org/obo/MP_0011012,bronchiectasia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0002105,Coughing up blood,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0005977,Hypochloremic metabolic alkalosis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0012282,Morbilliform rash,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0003472,Hypocalcemic tetany,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0011975,Aminoglycoside-induced hearing loss,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0005390,Frequent opportunistic infections,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0025296,Morbilliform,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/MP_0011012,bronchiectasia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0002110,Bronchiectasis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0011919,Pleural empyema,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0030166,Night sweats,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_401,multidrug-resistant tuberculosis,http://purl.obolibrary.org/obo/HP_0005101,Hearing loss,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_9861,Disseminated tuberculosis,http://purl.obolibrary.org/obo/HP_0100804,Koenen tumor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculous,http://purl.obolibrary.org/obo/DOID_9861,Disseminated tuberculosis,http://purl.obolibrary.org/obo/MP_0002968,elevated serum AP level,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76370
